tag,event_type,event_site,event_date,event_release_site,event_release_date,mark_date,cth_count
3DD.003D284968,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284969,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28496A,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28496B,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28496C,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28496D,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28496E,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28496F,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284970,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284971,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284972,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284973,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284974,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284975,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284976,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284977,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284978,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284979,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28497A,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28497B,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28497C,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
