tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3DD.003B9C1123,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/19/2018 11:01:58 PM,6/10/2019 4:42:16 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1123,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:37:32 AM,8/11/2018 2:37:32 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1123,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 9:13:46 PM,8/15/2018 9:13:49 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1124,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:12:21 AM,8/11/2018 1:12:21 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1124,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 9:53:57 PM,8/14/2018 9:54:00 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1125,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:26:06 AM,8/11/2018 3:26:06 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1126,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 12:58:55 AM,8/11/2018 12:58:55 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1126,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 9:20:59 PM,8/15/2018 9:20:59 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1127,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/17/2018 10:06:07 PM,8/17/2018 10:07:39 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1127,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:31:00 AM,8/11/2018 1:31:00 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1127,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 3:54:13 AM,8/14/2018 3:54:13 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1128,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,6/15/2019 5:21:43 AM,6/15/2019 5:21:43 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1129,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,9/6/2018 9:02:20 PM,9/6/2018 9:03:49 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
