tag_code,release_site,release_date,release_year,release_lat,release_lon
3DD.003D2849A8,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A9,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849AA,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849AB,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849AC,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849AD,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849AE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849AF,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B0,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849B1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B2,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B3,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849B4,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B5,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849B6,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B7,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B8,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849B9,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849BA,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849BB,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849BC,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849BD,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849BE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849BF,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849C0,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849C1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849C2,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849C3,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849C4,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284A8D,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284A8E,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284A8F,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A90,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A91,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A92,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A93,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284A96,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A99,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A9A,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A9B,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284A9D,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AA1,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AA2,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AA3,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AA4,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AA9,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AAC,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AAD,Methow River,8/17/2018,2018,48.05039,-119.904106
