tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,comment,length,mark_count
3D9.1A4FD2A01E,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",126,1
3D9.1A4FD2A01F,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",132,1
3D9.1A4FD2A020,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",130,1
3D9.1A4FD2A021,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",122,1
3D9.1A4FD2A022,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",128,1
3D9.1A4FD2A023,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",118,1
3D9.1A4FD2A024,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",127,1
3D9.1A4FD2A025,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",107,1
3D9.1A4FD2A026,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",120,1
3D9.1A4FD2A027,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",130,1
3D9.1A4FD2A028,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",132,1
