tag_code,life_stage,release_site_label,release_site_code,release_site_name,release_date,release_year,release_lat,release_lon,length_mm
3D9.1A4FA10478,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/5/2021,2021,48.151085,-120.056584,119
3D9.1A4FA1047A,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA1047B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,135
3D9.1A4FA1047C,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/5/2021,2021,48.151085,-120.056584,115
3D9.1A4FA1047D,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/5/2021,2021,48.151085,-120.056584,107
3D9.1A4FA1047E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,139
3D9.1A4FA1047F,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,104
3D9.1A4FA10480,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA10481,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,94
3D9.1A4FA10482,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,113
3D9.1A4FA10483,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA10484,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,124
3D9.1A4FA10485,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,133
3D9.1A4FA10486,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA10487,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,134
3D9.1A4FA10488,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,137
3D9.1A4FA10489,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,133
3D9.1A4FA1048A,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA1048B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,137
3D9.1A4FA1048C,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,131
3D9.1A4FA1048D,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,110
3D9.1A4FA1048E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
